Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
81,Jack Spikes,BUF,29,HB,14,1,2,45,22.5,1,27,,0.1,3.2,1,SpikJa00
82,Pete Banaszak,OAK,22,RB,14,0,1,11,11.0,0,11,,0.1,0.8,0,BanaPe00
83,George Chesser,MIA,24,FB,14,0,1,4,4.0,0,4,,0.1,0.3,0,ChesGe00
84,Eric Crabtree,DEN,22,SE,14,0,1,38,38.0,0,38,,0.1,2.7,1,CrabEr00
85,Jason Franci,DEN,23,WR,10,0,1,8,8.0,0,8,,0.1,0.8,0,FranJa00
86,J.D. Garrett,BOS,25,HB,14,1,1,7,7.0,0,7,,0.1,0.5,0,GarrJ.00
87,Curley Johnson,NYJ,31,TE,14,0,1,18,18.0,1,18,,0.1,1.3,2,JohnCu20
88,Mike Kellogg,DEN,24,FB,8,0,1,5,5.0,0,5,,0.1,0.6,1,KellMi01
89,Wes Matthews,MIA,23,WR,4,0,1,20,20.0,0,20,,0.3,5.0,1,MattWe00
90,Joe O'Donnell,BUF,25,RG,14,14,1,2,2.0,0,2,,0.1,0.1,0,ODonJo00
91,Frank Pitts,KAN,23,SE,14,0,1,11,11.0,0,11,,0.1,0.8,0,PittFr00
92,Bill Rademacher,NYJ,24,FL,4,0,1,3,3.0,0,3,,0.3,0.8,0,RadeBi00
93,Allen Smith,BUF,24,RB,14,0,1,1,1.0,0,1,,0.1,0.1,0,SmitAl00
94,Donnie Stone,HOU,29,HB,5,0,1,17,17.0,0,17,,0.2,3.4,1,StonDo00
95,Sammy Weir,NYJ,25,WR,11,0,1,4,4.0,0,4,,0.1,0.4,2,WeirSa00
96,Jerrel Wilson,KAN,25,P,14,0,1,7,7.0,0,7,,0.1,0.5,0,WilsJe20
97,Lonnie Wright,DEN,21,SS,14,7,1,-2,-2.0,0,-2,,0.1,-0.1,0,WrigLo20
