Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
GautPr00,Prentice Gautt,STL,28,RB,14,0.0,0.0,0.0,0.0,0.0,110.0,370.0,1.0,0.0,16.0,114.0,1.0,0.0,0.0,68.4
MarsAm00,Amos Marsh,DET,27,RB,14,0.0,0.0,0.0,0.0,0.0,134.0,433.0,3.0,5.0,12.0,111.0,0.0,5.0,0.0,68.4
GranHo00,Hoyle Granger,HOU,22,RB,11,0.0,0.0,0.0,0.0,0.0,56.0,388.0,1.0,0.0,12.0,104.0,1.0,0.0,0.0,67.2
BlanSi00,Sid Blanks,HOU,26,RB,14,0.0,0.0,0.0,0.0,0.0,71.0,235.0,0.0,2.0,19.0,234.0,2.0,2.0,0.0,64.4
HoakDi00,Dick Hoak,PIT,27,RB,13,4.0,6.0,87.0,1.0,0.0,81.0,212.0,1.0,3.0,23.0,239.0,0.0,3.0,0.0,64.08
HagbRo00,Roger Hagberg,OAK,27,RB,14,0.0,0.0,0.0,0.0,0.0,62.0,282.0,0.0,3.0,21.0,248.0,1.0,3.0,0.0,63.5
LindJi00,Jim Lindsey,MIN,22,RB,14,0.0,0.0,0.0,0.0,0.0,57.0,146.0,1.0,3.0,20.0,250.0,2.0,3.0,0.0,61.6
JohnJo02,John Henry Johnson,HOU,37,RB,14,0.0,0.0,0.0,0.0,0.0,70.0,226.0,3.0,0.0,8.0,150.0,0.0,0.0,0.0,59.6
MitcCh00,Charley Mitchell,DEN,26,RB,13,0.0,0.0,0.0,0.0,0.0,70.0,199.0,0.0,3.0,14.0,239.0,2.0,3.0,0.0,56.8
HayeWe00,Wendell Hayes,DEN,26,RB,11,0.0,0.0,0.0,0.0,0.0,105.0,417.0,1.0,0.0,8.0,49.0,0.0,0.0,0.0,56.6
MercCh00,Chuck Mercein,NYG,23,RB,13,0.0,0.0,0.0,0.0,0.0,94.0,327.0,0.0,3.0,27.0,152.0,0.0,3.0,0.0,55.4
BullRo00,Ronnie Bull,CHI,26,RB,14,1.0,1.0,21.0,0.0,0.0,100.0,318.0,0.0,4.0,20.0,174.0,0.0,4.0,0.0,52.04
LoonJo00,Joe Don Looney,2TM,24,RB,13,0.0,0.0,0.0,0.0,0.0,63.0,220.0,4.0,3.0,12.0,49.0,0.0,3.0,0.0,50.9
ThurSt00,Steve Thurlow,2TM,24,RB,13,0.0,0.0,0.0,0.0,0.0,80.0,260.0,0.0,2.0,23.0,165.0,0.0,2.0,0.0,50.0
GilcCo00,Cookie Gilchrist,MIA,31,RB,8,0.0,0.0,0.0,0.0,0.0,72.0,262.0,0.0,1.0,13.0,110.0,1.0,1.0,0.0,47.7
AlliJi00,Jim Allison,SDG,23,RB,14,0.0,0.0,0.0,0.0,0.0,31.0,213.0,2.0,1.0,12.0,99.0,0.0,1.0,0.0,47.2
KureRa00,Ralph Kurek,CHI,23,RB,14,0.0,0.0,0.0,0.0,0.0,52.0,179.0,1.0,1.0,10.0,178.0,0.0,1.0,0.0,44.7
LangIz00,Izzy Lang,PHI,24,RB,14,2.0,3.0,51.0,0.0,0.0,52.0,239.0,1.0,2.0,12.0,107.0,0.0,2.0,0.0,44.64
JoexBi00,Billy Joe,MIA,26,RB,14,0.0,0.0,0.0,0.0,0.0,71.0,232.0,0.0,3.0,13.0,116.0,1.0,3.0,1.0,43.3
KopaDa00,Dave Kopay,SFO,24,RB,14,0.0,0.0,0.0,0.0,0.0,47.0,204.0,1.0,1.0,10.0,67.0,1.0,1.0,0.0,42.1
JacoAl00,Allen Jacobs,NYG,25,RB,14,0.0,0.0,0.0,0.0,0.0,77.0,273.0,1.0,2.0,10.0,69.0,0.0,2.0,0.0,41.2
HillJe00,Jerry Hill,BAL,27,RB,11,0.0,0.0,0.0,0.0,0.0,104.0,395.0,0.0,2.0,5.0,18.0,0.0,2.0,0.0,39.8
